-0,0541237
0,1473064
-0,2155643
-0,4711469
0,1816943
0,4483246
-0,5987966
0,01140028
-0,2736503
0,1014332
-0,2786485
0,2094
0,108336
-0,2445952
-0,1119485
-0,02616197
0,2380639
0,1060645
-0,07262272
-0,341315
0,380599
0,2441933
0,2235811
-0,266418
-0,1896181
-0,09059197
0,1455424
-0,3174727
-0,1299408
-0,08601767
-0,4604867
0,18166
-0,1401138
-0,255168
0,2972265
-0,9276859
0,3761934
0,2975976
-0,2451904
-0,3183891
0,4886112
-0,4248022
-0,2406502
0,3036286
-0,4217079
0,1410792
-0,3679265
0,4597394
-0,2559097
0,3718083
0,3908222
0,07519168
0,08675522
-0,2452999
-0,4845797
-0,380595
0,1333206
-0,4844407
-0,4913077
0,1039087
-0,139095
0,1400276
0,3330586
0,4395188
0,1549414
-0,285545
-0,4923431
-0,04315895
0,2047729
0,4989829
-0,1538574
-0,1036008
-0,09144121
-0,1303163
0,4483836
-0,2411997
-0,311242
-0,2497445
0,2280905
-0,169458
-0,06262666
0,01088804
0,1253743
-0,1241423
0,08801669
-0,261745
0,07713789
0,1199054
-0,03174251
-0,05048801
-0,008669138
-0,4362159
0,07761592
-0,195682
-0,06881899
-0,3559839
0,1731564
0,3774384
0,146986
0,4819463
0,4093466
0,0552606
-0,1524735
0,1748895
0,1554872
0,496605
-0,356401
-0,1425228
0,1249408
-0,3239287
0,2249739
0,0196889
-0,09254688
0,1010301
0,3488925
-0,3978076
0,4091523
0,2381701
0,005921602
0,1991742
0,2298274
-0,1685495
-0,3423225
0,1027505
-0,2889488
0,4522852
0,2974801
0,2322898
0,4373225
-0,05453187
0,1866953
0,3740791
-0,3810105
-0,4220831
-0,4579349
0,07143408
0,1269448
0,4953904
-0,3378948
0,09352261
0,1301418
0,08972198
-0,2394535
